NOME,SIMBOLO_NOMEACAO,TITULO_PORTARIA,DATA_PORTARIA,LINK_PORTARIA
miguel alves de souza,102.1,"PORTARIA DIRAP Nº 81/1PC, DE 7 DE JANEIRO DE 2019",09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=9
igor lessa pasinato,102.3,"PORTARIA Nº 76/CH GAB MD/GM-MD, DE 8 DE JANEIRO DE 2019",09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=8
ronaldo vitor de souza,102.3,"PORTARIA Nº 84/CH GAB MD/GM-MD, DE 8 DE JANEIRO DE 2019",09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=8
aparecida heiras de souza,102.4,PORTARIAS DE  8 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=22
rodrigo almeida morais,102.4,PORTARIAS DE  8 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=22
cláudia maria vilela von sperling,102.4,PORTARIAS DE  8 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=22
airton pereira rippel,102.4,PORTARIAS DE  8 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=22
márcia bicalho monteiro,102.3,PORTARIAS DE  8 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=22
sarah da silva ferreira,102.1,PORTARIAs  DE 8 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=22
agnaldo sandes bandeira,101.4,PORTARIAS DE 7 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=38
josé augusto campos versiani,101.4,PORTARIAS DE 7 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=38
diogo dominici soriano,101.4,PORTARIAS DE 7 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=38
paula christiane brisola,101.4,PORTARIAS DE 7 DE JANEIRO DE 2019,09/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=09/01/2019&jornal=529&pagina=38
douglas de carvalho baeta,101.1,Portarias  de  9 de janeiro de 2019,10/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/01/2019&jornal=529&pagina=46
simone ferreira de carvalho amorim,102.3,PORTARIAS DE  9 DE JANEIRO DE 2019,10/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/01/2019&jornal=529&pagina=38
gleydson herbet deyvid de souza,102.2,PORTARIAS DE  9  DE  JANEIRO     DE 2019,10/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/01/2019&jornal=529&pagina=38
benícia gomes araújo,102.3,PORTARIAS DE  9  DE  JANEIRO     DE 2019,10/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/01/2019&jornal=529&pagina=38
cíntia ferreira barreto,102.4,PORTARIAS DE  9  DE  JANEIRO     DE 2019,10/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/01/2019&jornal=529&pagina=38
fernanda rumblesperger,102.3,PORTARIAS DE 9  DE   JANEIRO  DE 2019,10/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/01/2019&jornal=529&pagina=38
juliana resende silva de lima,101.4,PORTARIAS DE 9 DE JANEIRO DE 2019,10/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/01/2019&jornal=529&pagina=40
john de castro matos,101.4,"PORTARIA Nº 15 , DE 9 JANEIRO DE 2019",11/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/01/2019&jornal=529&pagina=14
analiane pereira nunes porto,102.3,"PORTARIA Nº 124, DE 9 DE JANEIRO DE 2019",11/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/01/2019&jornal=529&pagina=5
leandro lima coelho,102.2,"PORTARIA   Nº 21, DE 10 DE JANEIRO DE 2019.",11/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/01/2019&jornal=529&pagina=40
sérgio rodrigues da silva,101.4,PORTARIAS DE 10 DE JANEIRO DE 2019,11/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/01/2019&jornal=529&pagina=40
roberto de oliveira campos neto,102.4,"Portaria Nº 22, DE 10 DE janeiro DE 2019",11/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/01/2019&jornal=529&pagina=15
bruno olímpio vieira,102.4,"PORTARIA Nº 23, DE 10 DE JANEIRO DE 2019",11/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/01/2019&jornal=529&pagina=20
walquiria brito de sousa,101.1,PORTARIAS DE 9 DE JANEIRO DE 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=6
gleice lima miguel,101.2,PORTARIAS DE 9 DE JANEIRO DE 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=6
adriana ramos silva,102.4,"PORTARIA Nº 7, DE 11 DE JANEIRO DE 2019",14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=8
andrea da silva santos,102.1,Portarias de 11 de janeiro de 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=45
weber freitas nepomuceno,102.4,"PORTARIA N° 130/CH GAB MD/GM-MD, DE 11 DE JANEIRO DE 2019",14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=9
hugo américo rubert schaedler,101.4,PORTARIAS DE  9 DE JANEIRO DE 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=41
